PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
Bilal Powell, NYJ RB	Bilal Powell	 NYJ RB		0/0	0	0	0	131	722	3	58	388	2	74	0	1	0	128
Kelvin Benjamin, Car WR	Kelvin Benjamin	 Car WR		0/0	0	0	0	0	0	0	63	941	7	118	0	1	0	128
Jarvis Landry, Mia WR	Jarvis Landry	 Mia WR		0/1	0	0	0	5	17	0	94	1136	4	131	1	2	0	128
Terrelle Pryor Sr., Wsh WR  Q	Terrelle Pryor Sr.	 Wsh WR  Q		42864	41	0	0	8	21	1	77	1007	4	140	1	0	0	127
Brandon McManus, Den K	Brandon McManus	 Den K		0/0	0	0	0	1	6	0	0	0	0	0	0	0	0	127
Jason Myers, Jax K	Jason Myers	 Jax K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	127
Eagles D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	5	127
Dez Bryant, Dal WR	Dez Bryant	 Dal WR		42736	10	1	0	0	0	0	50	796	8	97	0	1	0	126
Mason Crosby, GB K	Mason Crosby	 GB K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
Ryan Mathews, Phi RB  Q	Ryan Mathews	 Phi RB  Q		0/0	0	0	0	155	661	8	13	115	1	14	2	2	0	125
Emmanuel Sanders, Den WR  Q	Emmanuel Sanders	 Den WR  Q		0/0	0	0	0	1	4	0	79	1032	5	139	0	0	0	125
Mike Wallace, Bal WR	Mike Wallace	 Bal WR		0/0	0	0	0	5	31	0	72	1017	4	117	1	0	0	124
Golden Tate, Det WR	Golden Tate	 Det WR		0/0	0	0	0	10	4	0	91	1077	4	135	1	1	0	124
Terrance West, Bal RB	Terrance West	 Bal RB		0/0	0	0	0	193	774	5	34	236	1	45	0	0	0	124
Ryan Fitzpatrick, NYJ QB	Ryan Fitzpatrick	 NYJ QB		228/403	2710	12	17	33	130	0	0	0	0	0	0	1	0	122
Julian Edelman, NE WR	Julian Edelman	 NE WR		0/0	0	0	0	12	57	0	98	1106	3	158	1	2	0	122
Jamison Crowder, Wsh WR	Jamison Crowder	 Wsh WR		0/0	0	0	0	2	-2	0	67	847	7	97	0	1	1	122
