PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
John Phillips, NO TE	John Phillips	 NO TE		0/0	0	0	0	0	0	0	10	72	1	14	0	0	0	10
C.J. Spiller, KC RB	C.J. Spiller	 KC RB		0/0	0	0	0	6	18	0	6	50	1	12	0	0	0	10
Jordan Todman, Ind RB	Jordan Todman	 Ind RB		0/0	0	0	0	9	59	0	0	0	0	1	0	0	1	10
Jordan Cameron, Mia TE  Q	Jordan Cameron	 Mia TE  Q		0/0	0	0	0	0	0	0	8	60	1	11	0	0	0	10
Dominique Jones, Mia TE	Dominique Jones	 Mia TE		0/0	0	0	0	0	0	0	7	61	1	10	0	0	0	10
Brittan Golden, Ari WR	Brittan Golden	 Ari WR		0/0	0	0	0	0	0	0	8	82	1	14	0	1	0	10
Nick O'Leary, Buf TE	Nick O'Leary	 Buf TE		0/0	0	0	0	0	0	0	9	114	0	14	1	0	0	10
Chris Harper, SF WR	Chris Harper	 SF WR		0/0	0	0	0	0	0	0	13	133	0	20	0	0	0	10
Akeem Hunt, Hou RB	Akeem Hunt	 Hou RB		0/0	0	0	0	20	109	0	3	29	0	4	0	0	0	10
Jonathan Williams, Buf RB	Jonathan Williams	 Buf RB		0/1	0	0	0	27	94	1	1	0	0	2	0	2	0	10
Demarcus Ayers, Pit WR  Q	Demarcus Ayers	 Pit WR  Q		0/0	0	0	0	2	-12	0	6	53	1	13	0	0	0	10
Shaun Hill, Min QB	Shaun Hill	 Min QB		19/35	242	0	0	5	5	0	0	0	0	0	0	0	0	9
Charlie Whitehurst, Cle QB  Q	Charlie Whitehurst	 Cle QB  Q		14/24	182	1	1	2	1	0	0	0	0	0	0	0	0	9
Jeremy Ross, Ari WR	Jeremy Ross	 Ari WR		0/0	0	0	0	0	0	0	4	37	1	4	0	0	0	9
Rhett Ellison, NYG TE	Rhett Ellison	 NYG TE		0/0	0	0	0	1	1	1	9	57	0	15	0	0	0	9
Mike Glennon, Chi QB	Mike Glennon	 Chi QB		43019	75	1	0	0	0	0	0	0	0	0	1	0	0	9
Andre Ellington, Ari RB	Andre Ellington	 Ari RB		0/0	0	0	0	34	96	0	12	85	0	19	0	0	0	9
Neal Sterling, Jax TE	Neal Sterling	 Jax TE		0/0	0	0	0	0	0	0	12	110	0	16	0	0	0	9
Mike Davis, SF RB	Mike Davis	 SF RB		0/0	0	0	0	19	50	1	3	25	0	5	0	1	0	9
George Atkinson III, Cle RB	George Atkinson III	 Cle RB		0/0	0	0	0	7	34	1	0	0	0	0	0	0	0	9
Joshua Perkins, Atl TE	Joshua Perkins	 Atl TE		0/0	0	0	0	0	0	0	3	42	1	5	0	0	0	9
Darren McFadden, Dal RB	Darren McFadden	 Dal RB		0/0	0	0	0	24	87	0	3	17	0	5	0	0	0	8
Patrick DiMarco, Buf RB	Patrick DiMarco	 Buf RB		0/0	0	0	0	0	0	0	7	52	1	10	0	0	0	8
Scott Tolzien, Ind QB	Scott Tolzien	 Ind QB		23/37	216	1	2	6	3	0	0	0	0	0	0	0	0	8
Gavin Escobar, Dal TE	Gavin Escobar	 Dal TE		0/0	0	0	0	0	0	0	4	30	1	7	0	0	0	8
Andre Williams, SD RB	Andre Williams	 SD RB		0/0	0	0	0	18	87	0	0	0	0	2	0	0	0	8
James Wright, Cle WR	James Wright	 Cle WR		0/0	0	0	0	2	-6	0	13	106	0	19	0	0	0	8
Leonte Carroo, Mia WR	Leonte Carroo	 Mia WR		0/0	0	0	0	0	0	0	3	29	1	6	0	0	0	8
Terrell Watson, Phi RB	Terrell Watson	 Phi RB		0/0	0	0	0	9	28	1	1	5	0	1	0	0	0	8
Drew Stanton, Ari QB	Drew Stanton	 Ari QB		19/48	192	2	3	3	-3	0	0	0	0	0	0	0	0	7
Marcel Reece, Sea RB	Marcel Reece	 Sea RB		0/0	0	0	0	2	0	0	5	72	0	5	1	0	0	7
David Johnson, Pit TE	David Johnson	 Pit TE		0/0	0	0	0	0	0	0	7	80	0	11	1	0	0	7
Antone Smith, TB RB  Q	Antone Smith	 TB RB  Q		0/0	0	0	0	10	47	0	6	77	0	9	0	1	0	7
Juwan Thompson, Den RB	Juwan Thompson	 Den RB		0/0	0	0	0	8	26	1	0	0	0	1	0	0	0	7
TJ Jones, Det WR	TJ Jones	 Det WR		0/0	0	0	0	0	0	0	5	93	0	14	0	0	0	7
Blake Bell, SF TE  Q	Blake Bell	 SF TE  Q		0/0	0	0	0	0	0	0	4	85	0	9	0	0	0	7
Wendall Williams, Hou WR	Wendall Williams	 Hou WR		0/0	0	0	0	0	0	0	4	75	0	7	0	0	0	7
Alan Cross, TB TE	Alan Cross	 TB TE		0/0	0	0	0	0	0	0	6	38	1	10	0	0	0	7
Bryce Treggs, Phi WR	Bryce Treggs	 Phi WR		0/0	0	0	0	2	7	0	3	80	0	12	0	0	0	7
Tommylee Lewis, NO WR	Tommylee Lewis	 NO WR		0/0	0	0	0	3	11	0	7	76	0	11	0	0	0	7
Matt Lengel, NE TE	Matt Lengel	 NE TE		0/0	0	0	0	0	0	0	2	22	1	3	0	0	0	7
Keenan Allen, SD WR  Q	Keenan Allen	 SD WR  Q		0/0	0	0	0	0	0	0	6	63	0	7	0	0	0	6
Geno Smith, NYG QB  Q	Geno Smith	 NYG QB  Q		42961	126	1	1	2	9	0	0	0	0	0	0	0	0	6
Cody Latimer, Den WR	Cody Latimer	 Den WR		0/0	0	0	0	0	0	0	8	76	0	15	0	0	0	6
Michael Campanaro, Bal WR	Michael Campanaro	 Bal WR		0/0	0	0	0	3	72	0	0	0	0	1	0	0	0	6
Tyler Kroft, Cin TE  Q	Tyler Kroft	 Cin TE  Q		0/0	0	0	0	0	0	0	10	92	0	12	0	0	0	6
Connor Cook, Oak QB	Connor Cook	 Oak QB		14/21	150	1	1	0	0	0	0	0	0	0	0	1	0	6
Pharoh Cooper, LA WR	Pharoh Cooper	 LA WR		0/1	0	0	1	0	0	0	14	106	0	20	0	0	0	6
Trevor Davis, GB WR	Trevor Davis	 GB WR		0/0	0	0	0	0	0	0	3	24	1	6	0	1	0	6
Rashard Higgins, Cle WR	Rashard Higgins	 Cle WR		0/0	0	0	0	0	0	0	6	77	0	12	0	0	0	6
Derek Watt, SD RB	Derek Watt	 SD RB		0/0	0	0	0	2	4	0	4	83	0	4	0	0	0	6
Trevone Boykin, Sea QB	Trevone Boykin	 Sea QB		13/18	145	1	1	8	1	0	0	0	0	0	0	0	0	6
Byron Marshall, Phi RB	Byron Marshall	 Phi RB		0/0	0	0	0	19	64	0	3	10	0	5	0	0	0	6
D.J. Tialavea, Atl TE	D.J. Tialavea	 Atl TE		0/0	0	0	0	0	0	0	1	1	1	1	0	0	0	6
Tony Romo, Dal QB	Tony Romo	 Dal QB		42798	29	1	0	0	0	0	0	0	0	0	0	0	0	5
Dwayne Harris, NYG WR	Dwayne Harris	 NYG WR		0/0	0	0	0	0	0	0	1	13	1	1	0	1	0	5
Phillip Supernaw, Ten TE	Phillip Supernaw	 Ten TE		0/0	0	0	0	0	0	0	4	62	0	5	0	0	0	5
Ifeanyi Momah, Ari TE  Q	Ifeanyi Momah	 Ari TE  Q		0/0	0	0	0	0	0	0	2	50	0	4	0	0	0	5
EJ Manuel, Oak QB	EJ Manuel	 Oak QB		43065	131	0	0	8	22	0	0	0	0	0	1	1	0	5
Nick Williams, Atl WR	Nick Williams	 Atl WR		0/0	0	0	0	0	0	0	5	59	0	7	0	0	0	5
Jace Amaro, Ten TE	Jace Amaro	 Ten TE		0/0	0	0	0	0	0	0	3	59	0	4	0	0	0	5
Ryan Grant, Wsh WR	Ryan Grant	 Wsh WR		0/0	0	0	0	0	0	0	9	76	0	19	0	0	0	5
Patrick Murray, Cle K	Patrick Murray	 Cle K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Fitzgerald Toussaint, Pit RB	Fitzgerald Toussaint	 Pit RB		0/0	0	0	0	14	58	0	3	33	0	3	0	0	0	5
